year,source_sheet,position_no,supervisor,unit,job_name,job_code,recruit_count,stage,subject,user_type,major_req,edu_req,degree_req,age_req,qualification,exam_category,exam_subcategory,exam_code,exam_method,need_professional_written,need_practical_test,interview_method,ratio,direct_to_written_threshold,consult_phone,notice_url,is_core_it,is_adjacent_digital,it_scope
2026,岗位表,440,宾阳县教育局,宾阳县开智中学,高中信息技术教师,260440,1,高中,信息技术,实名编,计算机科学与技术类，计算机教育专业，教育技术学专业，现代教育技术专业,大学本科及以上,学士及以上,18-38周岁,不作要求,,,,笔试+面试,,,专业能力测试,1:3,,0771-8229591,http://www.binyang.gov.cn/yw/tzgg/,True,False,信息技术/信息科技
2026,岗位表,454,宾阳县教育局,宾阳县新桥中学,高中信息技术教师,260454,1,高中,信息技术,实名编,计算机科学与技术类，职业技术教育学专业，教育技术学专业，现代教育技术专业，科学与技术教育专业，职业技术教育专业，科学教育专业，计算机科学技术专业,大学本科及以上,学士及以上,18-38周岁,不作要求,,,,笔试+面试,,,专业能力测试,1:3,,0771-8229591,http://www.binyang.gov.cn/yw/tzgg/,True,False,信息技术/信息科技
2026,岗位表,475,宾阳县教育局,宾阳县宾州镇第二初级中学,初中信息技术教师,260475,1,初中,信息技术,实名编,计算机科学与技术类，计算机教育专业，教育技术学专业，现代教育技术专业,大学本科及以上,学士及以上,18-38周岁,不作要求,,,,笔试+面试,,,专业能力测试,1:3,,0771-8229591,http://www.binyang.gov.cn/yw/tzgg/,True,False,信息技术/信息科技
2026,岗位表,486,宾阳县教育局,宾阳县宾州镇第三初级中学,初中信息技术教师,260486,1,初中,信息技术,实名编,计算机科学与技术类，计算机教育专业，教育技术学专业，现代教育技术专业,大学本科及以上,学士及以上,18-38周岁,不作要求,,,,笔试+面试,,,专业能力测试,1:3,,0771-8229591,http://www.binyang.gov.cn/yw/tzgg/,True,False,信息技术/信息科技
2026,岗位表,517,宾阳县教育局,宾阳县敷文中学,初中信息技术教师,260517,1,初中,信息技术,实名编,计算机科学与技术类，计算机教育专业，教育技术学专业，现代教育技术专业,大学本科及以上,学士及以上,18-38周岁,不作要求,,,,笔试+面试,,,专业能力测试,1:3,,0771-8229591,http://www.binyang.gov.cn/yw/tzgg/,True,False,信息技术/信息科技
2026,岗位表,531,宾阳县教育局,宾阳县黎塘镇第一初级中学,初中信息技术教师,260531,1,初中,信息技术,实名编,计算机科学与技术类，计算机教育专业，教育技术学专业，现代教育技术专业,大学本科及以上,学士及以上,18-38周岁,不作要求,,,,笔试+面试,,,专业能力测试,1:3,,0771-8229591,http://www.binyang.gov.cn/yw/tzgg/,True,False,信息技术/信息科技
2026,岗位表,592,马山县教育局,马山县民族职业技术学校（马山县综合高级中学）,高中信息技术教师,260592,1,高中,信息技术,实名编,计算机科学与技术类，教育技术学专业,大学本科及以上,学士及以上,18-38周岁,不作要求,,,,笔试+面试,,,专业能力测试,1:3,,0771-6819785,http://www.nnms.gov.cn/xxgk/xxgkml/jcxxgk/rsxx/zkzp/,True,False,信息技术/信息科技
2026,岗位表,614,隆安县教育局,隆安县隆安中学,高中信息技术教师,260614,2,高中,信息技术,实名编,计算机科学与技术类，教育技术学专业,大学本科及以上,学士及以上,18-38周岁,不作要求,,,,笔试+面试,,,专业能力测试,1:3,,0771-6528702,http://www.lax.gov.cn/,True,False,信息技术/信息科技
2026,岗位表,633,隆安县教育局,隆安县职业技术学校,中职信息技术教师,260633,1,中职,信息技术,实名编,计算机科学与技术类，教育技术学专业,大学本科及以上,学士及以上,18-38周岁,不作要求,,,,笔试+面试,,,专业能力测试,1:3,,0771-6528702,http://www.lax.gov.cn/,True,False,信息技术/信息科技
2026,岗位表,735,兴宁区教育局,南宁市兴宁区天德路学校,初中信息技术教师 （聘用教师控制数）,260735,1,初中,信息技术,聘用教师控制数,计算机科学与技术类，教育技术学专业,大学本科及以上,学士及以上,18-38周岁,助理级及以上,,,,笔试+面试,,,专业能力测试,1:3,,0771-3290742,http://www.nnxn.gov.cn/rmzfzcbm/jiaoyuju1/tzgg_27579/,True,False,信息技术/信息科技
2026,岗位表,911,青秀区教育局,南宁市民主路小学,小学信息技术教师 （聘用教师控制数）,260911,1,小学,信息技术,聘用教师控制数,电子信息工程专业，计算机科学与技术专业，人工智能专业，数据科学与大数据技术专业，教育技术学专业，计算机科学技术专业,大学本科及以上,学士及以上,18-38周岁,不作要求,,,,笔试+面试,,,专业能力测试,1:3,,0771-5826393,http://www.qingxiu.gov.cn/,True,False,信息技术/信息科技
2026,岗位表,933,青秀区教育局,南宁市仙葫学校,初中信息技术教师 （聘用教师控制数）,260933,1,初中,信息技术,聘用教师控制数,软件工程专业，信息管理与信息系统(工学学士学位)专业，计算机科学与技术专业，计算机科学技术专业，人工智能工程技术专业,大学本科及以上,学士及以上,18-38周岁,不作要求,,,,笔试+面试,,,专业能力测试,1:3,,0771-5826393,http://www.qingxiu.gov.cn/,True,False,信息技术/信息科技
2026,岗位表,1046,西乡塘区教育局,南宁市西大附属学校,小学信息技术教师 （聘用教师控制数）,261046,1,小学,信息技术,聘用教师控制数,计算机科学与技术类，计算机教育专业，信息科学技术专业,大学本科及以上,学士及以上,18-43周岁,中级及以上,,,,直接面试,,,专业能力测试,1:3,21,0771-3397153,http://www.xxtq.gov.cn/xxtqjyj/,True,False,信息技术/信息科技
2026,岗位表,1095,良庆区教育局,良庆区各小学,小学信息技术教师 （聘用教师控制数）,261095,1,小学,信息技术,聘用教师控制数,教育技术学专业，计算机教育专业，计算机科学与技术专业，计算机科学技术专业，计算机科学专业，计算机技术专业,大学本科及以上,学士及以上,18-38周岁,不作要求,,,,笔试+面试,,,专业能力测试,1:3,,0771-4503008、0771-4501877,http://www.liangqing.gov.cn/,True,False,信息技术/信息科技
2026,岗位表,1119,武鸣区教育局,南宁市武鸣区职业技术学校,中职工业机器人专业教师 （教职人员控制数）,261119,1,中职,未识别,中职学校教职人员控制数,机械设计制造及其自动化专业，机械电子工程专业，自动化专业,大学本科及以上,学士及以上,18-38周岁,不作要求,,,,笔试+面试,,,专业能力测试,1:3,,0771-6224125,http://www.wuming.gov.cn/,False,True,相邻数字技术
